2020-01-11 22:08:00.697290:HostEvent:Associate, Task: 396922, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 03905, Type: BAT, cores: 1, Mem: 16, Mem Util %: 0, Comp: 1, Comp Util %: 0, Num Tasks: 3, : 
2020-01-11 22:08:00.699290:HostEvent:Associate, Task: 578856, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 03905, Type: BAT, cores: 1, Mem: 16, Mem Util %: 0, Comp: 1, Comp Util %: 0, Num Tasks: 4, : 
2020-01-11 22:08:00.700289:HostEvent:Associate, Task: 869693, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 97196, Type: GPU, cores: 16, Mem: 32, Mem Util %: 0, Comp: 16, Comp Util %: 0, Num Tasks: 4, : 
2020-01-11 22:08:00.701289:HostEvent:Associate, Task: 648564, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 55302, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 2, : 
2020-01-11 22:08:00.703290:HostEvent:Associate, Task: 903565, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 13434, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 3, : 
2020-01-11 22:08:00.704288:HostEvent:Associate, Task: 605397, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 03905, Type: BAT, cores: 1, Mem: 16, Mem Util %: 0, Comp: 1, Comp Util %: 0, Num Tasks: 5, : 
2020-01-11 22:08:00.706288:HostEvent:Associate, Task: 738797, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 32098, Type: BAT, cores: 4, Mem: 8, Mem Util %: 0, Comp: 4, Comp Util %: 0, Num Tasks: 2, : 
2020-01-11 22:08:00.707290:HostEvent:Associate, Task: 048050, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 32098, Type: BAT, cores: 4, Mem: 8, Mem Util %: 0, Comp: 4, Comp Util %: 0, Num Tasks: 3, : 
2020-01-11 22:08:00.708288:HostEvent:Associate, Task: 238968, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 28657, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 2, : 
2020-01-11 22:08:00.710288:HostEvent:Associate, Task: 303445, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 55302, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 3, : 
2020-01-11 22:08:00.711292:HostEvent:Associate, Task: 896865, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 97080, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 4, : 
2020-01-11 22:08:00.713288:HostEvent:Associate, Task: 908573, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 18289, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 6, : 
2020-01-11 22:08:00.715289:HostEvent:Associate, Task: 398591, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 97196, Type: GPU, cores: 16, Mem: 32, Mem Util %: 0, Comp: 16, Comp Util %: 0, Num Tasks: 5, : 
2020-01-11 22:08:00.717289:HostEvent:Associate, Task: 475435, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 03905, Type: BAT, cores: 1, Mem: 16, Mem Util %: 0, Comp: 1, Comp Util %: 0, Num Tasks: 6, : 
2020-01-11 22:08:00.719288:HostEvent:Associate, Task: 874628, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 13434, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 4, : 
2020-01-11 22:08:00.720288:HostEvent:Associate, Task: 170555, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 55302, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 4, : 
2020-01-11 22:08:00.722289:HostEvent:Associate, Task: 372528, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 18289, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 7, : 
2020-01-11 22:08:00.724288:HostEvent:Associate, Task: 702729, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 14592, Type: BAT, cores: 2, Mem: 16, Mem Util %: 0, Comp: 2, Comp Util %: 0, Num Tasks: 2, : 
2020-01-11 22:08:00.725287:HostEvent:Associate, Task: 735911, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 14592, Type: BAT, cores: 2, Mem: 16, Mem Util %: 0, Comp: 2, Comp Util %: 0, Num Tasks: 3, : 
2020-01-11 22:08:00.726290:HostEvent:Associate, Task: 716751, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 14592, Type: BAT, cores: 2, Mem: 16, Mem Util %: 0, Comp: 2, Comp Util %: 0, Num Tasks: 4, : 
2020-01-11 22:08:00.728289:HostEvent:Associate, Task: 074870, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 13434, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 5, : 
